"","County","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"20","DeKalb County",24643,51.35,21905,45.65,1441,3,3.1,3.8,24.9,23.7,10.4,20.8,13.3,0.4424,68617,86040,1635.16,61.58,100420,13.54,70.95,8.69,0.12,2.27,0.03,0.3,4.1,35.41,19.56,19.93,9.54,15.56,"Democrat"
"21","Douglas County",2335,26.66,6227,71.08,198,2.26,10.3,4.9,33.9,20.2,10.8,13.9,5.9,0.4094,67177,82408,1079.11,18.27,19740,7.93,88.25,0.34,0.14,0.52,0.03,0.17,2.62,28.66,13.96,20.65,13.45,23.28,"Republican"
"22","DuPage County",281222,57.98,193611,39.91,10231,2.11,3.4,3.2,18,16.9,7.5,30.3,20.7,0.4579,107035,144731,849.09,1095.95,932877,15.47,63.4,4.74,0.09,12.75,0.02,0.35,3.17,48.95,12.41,21.77,5.35,11.51,"Democrat"
"23","Edgar County",1887,23.02,6193,75.56,116,1.42,3.4,8.7,38.9,20.7,9.6,13.4,5.4,0.4127,56687,70504,1614.4,10.44,16866,1.33,94.9,0.49,0.1,0.3,0,0.2,2.69,31.86,17.82,16.33,12.25,21.74,"Republican"
"24","Edwards County",488,14.49,2833,84.12,47,1.4,2.2,6.7,34.5,24.6,18.1,10.1,3.8,0.4102,60784,73519,576.01,10.73,6245,1.01,95.98,0.26,0.13,0.34,0.06,0.18,2.05,28.54,15.78,10.73,15.33,29.62,"Republican"
"25","Effingham County",3716,19.47,15006,78.64,361,1.89,2.5,4,32.5,21.4,13.7,17.8,8.2,0.4362,73181,93523,1240.01,27.9,34668,2.52,93.35,0.44,0.1,0.71,0.02,0.13,2.74,34.3,15.44,22.39,9.39,18.48,"Republican"
"26","Fayette County",1826,18.12,8055,79.94,195,1.94,4.1,9.3,40.5,19.4,11.9,10.7,4.1,0.4547,51962,71866,1855.58,11.57,21488,3.06,90.4,3.63,0.37,0.31,0,0.14,2.08,27.56,18.2,22.29,13.67,18.28,"Republican"
"27","Ford County",1754,25.18,5048,72.46,165,2.37,2.2,6,35.5,26.6,9.9,11.8,8,0.4348,58930,74003,1257.69,10.72,13534,4.09,90.62,0.55,0.18,0.42,0,0.31,3.82,33.99,12.5,21.34,13.85,18.32,"Republican"
"28","Franklin County",4760,25.5,13622,72.97,287,1.54,2.2,7.8,33,26.8,12.5,12.3,5.3,0.4484,51031,66309,1059.11,35.7,37804,1.7,93.14,0.43,0.24,0.31,0.01,0.17,4,29.01,20.86,19.8,11.87,18.46,"Republican"
"29","Fulton County",6503,38.88,9867,59,354,2.12,1.7,8.4,37.4,22.7,12.2,12.2,5.5,0.4439,57223,76880,2242.11,15.03,33609,2.2,91.09,3.28,0.18,0.21,0.02,0.23,2.8,31.21,18.45,18.38,13.06,18.9,"Republican"
"30","Gallatin County",622,23.25,2019,75.48,34,1.27,3.4,9.4,38.3,25.9,10.7,7.5,4.9,0.5613,51868,83451,836.41,5.94,4946,1.07,94.68,0.51,0.1,0.47,0,0.06,3.11,29.08,14.4,15.76,19.86,20.89,"Republican"
"31","Greene County",1349,21.66,4770,76.6,108,1.73,2.4,7.2,45.6,19.8,9.5,10.7,4.8,0.4432,58900,77641,1406.74,8.54,11985,0.88,95.54,0.15,0.11,0.18,0.03,0.19,2.92,29.53,22.48,17.5,11.01,19.47,"Republican"
"32","Grundy County",9626,35.98,16523,61.76,604,2.26,2,4,32,25.8,10.6,16.7,9,0.3955,89993,107987,1082.95,48.59,52533,10.87,82.75,1.59,0.09,0.89,0.03,0.23,3.55,34.12,16.52,18.97,11.91,18.48,"Republican"
"33","Hamilton County",824,19.06,3432,79.39,67,1.55,5.9,7.7,30.7,25.4,13,9.9,7.2,0.4013,60574,72181,1125.73,7.11,7993,1.2,94.76,0.45,0.2,0.15,0,0.01,3.23,31.46,15.85,15.37,17.8,19.52,"Republican"
"34","Hancock County",2315,24.67,6906,73.6,162,1.73,1.3,4.2,34.5,22.7,12.6,17,7.6,0.451,61026,79875,2055.8,8.55,17620,1.8,94.21,0.41,0.22,0.32,0.02,0.16,2.85,33.48,15.02,21.92,11.18,18.4,"Republican"
"35","Hardin County",449,20.77,1691,78.21,22,1.02,5.7,7,38.1,23.3,13.9,6.7,5.3,0.467,53026,70437,459.44,7.98,3649,1.78,92.46,0.3,0,0.47,0.05,0.11,4.82,37.97,18.21,10.73,10.57,22.52,"Republican"
"36","Henderson County",1187,32.47,2394,65.48,75,2.05,1.2,5.8,39.8,22.6,9.9,15.6,5.1,0.3937,64946,78911,981.07,6.5,6387,1.75,94.88,0.45,0.08,0.22,0.08,0,2.54,38,15.06,14.72,11.25,20.97,"Republican"
"37","Henry County",9797,38.12,15300,59.53,603,2.35,2.3,5.3,34.2,21.8,11.9,16.6,8.1,0.4357,66313,88220,2131.72,23.06,49284,6.43,87.44,2.09,0.13,0.39,0.02,0.19,3.31,34.72,15.9,21.24,11.01,17.13,"Republican"
"38","Iroquois County",2908,20.71,10877,77.45,259,1.84,3.5,7.8,39.2,21.4,10.5,13.1,4.6,0.4316,62866,79788,2894.04,9.34,27077,7.7,87.17,0.78,0.14,0.37,0,0.18,3.67,31.54,16.08,18.55,13.5,20.33,"Republican"
"39","Jackson County",11181,49.22,10890,47.94,645,2.84,3,5.2,22.2,25.4,9,17.5,17.7,0.5144,44847,67690,1511.44,35.18,52974,5.36,70.81,14.16,0.22,3.87,0.05,0.45,5.09,40.56,20.32,19.78,7.93,11.39,"Democrat"
