"","County","State","Democrat vote raw","Democrat vote %","Republican vote raw","Republican vote %","Other vote raw","Other vote %","Less than 9th grade","9th to 12th grade","HS graduate and eq","College,No Degree","Associates Degree","Bachelors Degree","Graduate or professional degree","Gini Index","Median income","Mean income","Area","Density","Total Pop","Hispanic or Latino %","NH-White %","NH-Black %","NH-American Native %","NH-Asian %","NH-Native Pacific Islander %","NH-Other Race %","NH-Two or More Races %","% in Management, business, science, and arts","% in Service","% in Sales and Office","% in Resources and Construction","% in Transportation","Party"
"97","Yukon-Koyukuk Census Area","Alaska",1740,61.31,965,34,133,4.69,4.4,8.6,38.9,29,5,9.6,4.5,0.4639,47826,62362,377055.29,0.01,5343,1.35,20.98,0.11,71.46,0.15,0.06,0.3,5.6,34.18,15.44,20.61,13.23,16.54,"Democrat"
"98","Apache County","Arizona",23293,66.21,11442,32.52,448,1.27,7,9,32.5,28.6,9.2,8.2,5.6,0.5144,37483,53624,29003.5,2.28,66021,5.85,20.89,0.28,70.45,0.47,0.03,0.17,1.87,31.63,21.31,21.21,13.58,12.26,"Democrat"
"99","Cochise County","Arizona",23732,39.24,35557,58.8,1184,1.96,4.6,6.5,25.1,25.6,11.4,16.6,10,0.4384,58421,75274,16083.47,7.8,125447,33.97,54.41,3.48,0.61,2.06,0.34,0.58,4.55,36.57,22.95,21.3,9.7,9.49,"Republican"
"100","Coconino County","Arizona",44698,60.94,27052,36.88,1596,2.18,3.3,5.3,21,22.2,8.6,23.3,16.3,0.4603,67266,89188,48216.13,3,145101,14.97,53,1.22,24.22,1.78,0.18,0.42,4.21,40.44,22.23,19.53,7.92,9.89,"Democrat"
"101","Gila County","Arizona",8943,32.31,18377,66.4,358,1.29,2.7,10.2,30.6,28.3,10.2,11.8,6.2,0.4389,55242,69681,12322.07,4.34,53272,17.43,61.49,0.45,16.25,0.8,0.08,0.38,3.12,31.75,24.2,18.87,13.65,11.52,"Republican"
"102","Graham County","Arizona",4034,26.9,10749,71.68,213,1.42,4.3,11.1,30.4,29.1,11.1,9,5,0.4057,64089,74766,11970.61,3.21,38533,29.66,52.94,1.18,13.35,0.44,0.04,0.26,2.14,28.66,20.95,19.38,18.47,12.54,"Republican"
"103","Greenlee County","Arizona",1182,32.05,2433,65.97,73,1.98,4.8,9.3,32.4,29.9,7,13.2,3.5,0.3756,73756,79905,4772.93,1.99,9563,45.76,46.49,0.84,2.88,0.71,0.01,0.36,2.96,28.01,19.43,9.72,28.3,14.54,"Republican"
"104","La Paz County","Arizona",2236,29.97,5129,68.75,95,1.27,6,11.4,32.8,28.5,8.9,8.4,4,0.4817,46634,62044,11646.09,1.43,16557,25.35,54.73,0.62,14.22,0.67,0.25,0.26,3.91,29.78,21,19.61,16.43,13.19,"Republican"
"105","Maricopa County","Arizona",1040774,50.29,995665,48.11,33036,1.6,4.9,5.9,22.1,23.1,9,21.9,13.1,0.4555,80675,108596,23833.11,185.91,4420568,30.57,53.33,5.55,1.55,4.48,0.22,0.47,3.84,41.18,16.17,23.45,8.31,10.89,"Democrat"
"106","Mohave County","Arizona",24831,23.72,78535,75.01,1339,1.28,3.5,8.7,34.4,29.6,9.3,8.9,5.5,0.4622,53592,73093,34530.02,6.2,213267,16,75.1,0.97,1.9,1.22,0.17,0.32,4.32,29.58,23.62,23.23,9.14,14.42,"Republican"
"107","Navajo County","Arizona",23383,45.16,27657,53.41,743,1.43,5,9.4,29.9,28.6,9.9,10.1,7.2,0.4536,50335,63992,25769.07,4.16,106717,10.2,41.97,0.63,43.64,0.51,0.06,0.22,2.76,34.63,20.69,20.91,12.58,11.19,"Republican"
"108","Pima County","Arizona",304981,58.57,207758,39.9,7996,1.54,4.2,6.3,21.5,24.2,8.8,20,15,0.4679,64323,88437,23798.58,43.8,1043433,35.73,51.45,3.47,2.27,2.86,0.19,0.45,3.59,39.9,20.01,22.29,8.54,9.26,"Democrat"
"109","Pinal County","Arizona",75106,40.59,107077,57.87,2854,1.54,4.4,7.1,30.7,26.2,10.1,14.4,7,0.4199,73313,92354,13899.61,31.18,425264,28.58,56.44,4.87,4.03,1.48,0.25,0.39,3.96,33.4,19.32,22,11.4,13.88,"Republican"
"110","Santa Cruz County","Arizona",13138,67.16,6194,31.67,229,1.17,10,12,25.4,20,9.1,14,9.5,0.4635,51885,71305,3201.9,14.94,47669,83.14,14.93,0.24,0.16,0.57,0.03,0.31,0.61,26.45,19.89,27.05,9.88,16.72,"Democrat"
"111","Yavapai County","Arizona",49602,34.62,91527,63.88,2151,1.5,2.1,5.7,25.4,28.6,9.4,17,11.7,0.4482,62430,83305,21038.3,11.3,236209,14.56,77.6,0.6,1.41,1.19,0.11,0.45,4.08,33.78,20.86,23.55,11.78,10.04,"Republican"
"112","Yuma County","Arizona",32210,46.06,36534,52.25,1182,1.69,12.4,11.4,26.4,24.8,8.5,10.7,5.7,0.4574,56439,74377,14280.73,14.31,203881,63.76,29.98,1.71,0.93,1.14,0.11,0.31,2.07,27.09,21.36,20.1,15.61,15.84,"Republican"
"113","Arkansas County","Arkansas",1818,28.89,4304,68.4,170,2.7,4.3,9.7,42.5,15.3,12.4,10.4,5.4,0.4412,58695,70590,2569.63,6.63,17149,3.71,67.5,24.13,0.2,0.55,0.05,0.2,3.66,31.56,15.29,17.99,12.39,22.77,"Republican"
"114","Ashley County","Arkansas",2125,26.81,5548,70,253,3.19,5.6,8.6,48.4,19.8,6.1,8.2,3.3,0.5126,44804,64449,2397.01,7.93,19062,5.84,66.55,24.36,0.13,0.22,0.03,0.17,2.7,26.96,19.44,17.55,12.3,23.74,"Republican"
"115","Baxter County","Arkansas",4635,22.06,15836,75.38,536,2.55,2.4,8,35.2,24.6,11.7,12.5,5.6,0.4592,47403,66193,1434.68,29.14,41627,2.54,91.4,0.21,0.52,0.56,0.02,0.23,4.51,31.46,14.66,21.03,9.12,23.73,"Republican"
"116","Benton County","Arkansas",42249,35.23,73965,61.68,3698,3.08,4.8,5,28.8,18.9,7,22.9,12.6,0.4565,85269,116152,2195.62,130.5,284333,17.77,67.44,1.59,1.34,4.78,0.91,0.3,5.86,39.55,13.93,22.35,9.37,14.8,"Republican"
"117","Boone County","Arkansas",3064,17.9,13652,79.77,398,2.33,3.1,6.3,34.9,28,11.1,11,5.6,0.4477,52275,69322,1527.38,24.66,37373,2.6,90.31,0.26,0.71,0.62,0.07,0.22,5.2,31.02,16.08,24.72,9.34,18.83,"Republican"
"118","Bradley County","Arkansas",1214,33.22,2335,63.9,105,2.87,5.1,9.1,47.1,20,6.2,8.7,3.8,0.4717,43688,57798,1681.34,6.22,10545,14.94,54.13,27.7,0.28,0.26,0,0.12,2.58,34.98,13.38,16.34,12.04,23.26,"Republican"
"119","Calhoun County","Arkansas",479,21.95,1636,74.98,67,3.07,2.3,12.4,45.4,18.6,8.8,7.7,4.9,0.3919,60237,65273,1628.07,2.93,4739,2.68,73.83,19.27,0.06,0.11,0.19,0.08,3.78,21.61,14.61,23.01,21.97,18.81,"Republican"
"120","Carroll County","Arkansas",4023,34.1,7424,62.93,350,2.97,8.3,5.9,35.9,20.6,7.9,14.5,6.9,0.4498,56826,71631,1631.5,17.38,28260,15.24,74.93,0.31,0.9,2,1.53,0.33,4.77,29.49,14.08,18.6,18.05,19.77,"Republican"
"121","Chicot County","Arkansas",2260,55.08,1752,42.7,91,2.22,5.8,14.5,37.9,19.4,4.8,12.6,5,0.5559,36593,61443,1649.76,6.2,10208,5.69,38.08,52.77,0.25,0.37,0.09,0.24,2.5,28.14,15.07,23.43,15.49,17.87,"Democrat"
"122","Clark County","Arkansas",3438,40.95,4616,54.99,341,4.06,3.3,7,31.2,26.3,5.8,17.4,9.1,0.4502,48071,63424,2242.86,9.57,21446,5.09,65.71,23.63,0.35,0.7,0.07,0.41,4.03,28.92,24.91,19.86,9.15,17.16,"Republican"
"123","Clay County","Arkansas",962,18.56,4086,78.83,135,2.6,5.9,9.8,41.1,19.3,8.5,8.7,6.7,0.4523,44685,61486,1655.58,8.78,14552,2.25,93.28,0.27,0.3,0.1,0.03,0.14,3.63,31.05,15.36,19.37,12.06,22.16,"Republican"
"124","Cleburne County","Arkansas",1988,15.68,10328,81.45,364,2.87,4.4,7.7,39.4,22.1,9.2,11.4,5.8,0.4541,52780,71025,1434.75,17.39,24711,2.56,92.06,0.23,0.45,0.39,0.04,0.2,4.07,29.7,16.59,21.32,12.57,19.82,"Republican"
"125","Cleveland County","Arkansas",651,18.08,2867,79.64,82,2.28,0.9,7.2,43.8,27.1,5.1,10.1,5.8,0.4511,48913,68293,1548.58,4.87,7550,2.41,85.15,8.94,0.28,0.09,0.01,0.16,2.95,35.79,10.71,18.75,14.1,20.66,"Republican"
"126","Columbia County","Arkansas",2814,32.66,5500,63.83,302,3.51,3.5,8.2,41.5,21.2,6.6,13.3,5.7,0.5224,47441,72061,1984.1,11.44,22801,3.39,58.05,34.36,0.31,0.71,0,0.31,2.86,31.47,16.31,17.67,9.37,25.18,"Republican"
"127","Conway County","Arkansas",2615,30.11,5694,65.56,376,4.33,3.8,7,43.2,17.7,9.2,14.1,5,0.4697,50282,68736,1429.46,14.54,20715,4.28,77.95,10.57,0.66,0.43,0.04,0.11,5.97,32.36,17.86,16.03,14.95,18.8,"Republican"
"128","Craighead County","Arkansas",11921,30.95,25558,66.37,1032,2.68,4.4,5.4,33.1,21.1,7.8,17.3,10.9,0.4934,55169,80561,1831.54,60.63,111231,6.05,71.15,16.48,0.24,1.51,0.05,0.25,4.27,36.3,17.73,20.95,10.12,14.9,"Republican"
"129","Crawford County","Arkansas",4959,20.58,18607,77.24,525,2.18,4.2,10.3,34.4,22.3,8.4,14.5,5.8,0.4445,56702,74478,1541.74,39.3,60133,7.59,79.2,1.43,2.27,1.56,0.04,0.21,7.69,29.89,16.93,21.77,10.5,20.9,"Republican"
"130","Crittenden County","Arkansas",8514,52.02,7333,44.8,520,3.18,4.7,9.7,36.3,23.3,8.3,12.5,5.2,0.4769,51860,70749,1587.31,30.21,48163,2.96,39.34,53.58,0.24,0.67,0.04,0.18,2.99,32.37,17.23,19.54,9.31,21.55,"Democrat"
"131","Cross County","Arkansas",1772,25.53,4946,71.25,224,3.23,5.9,10.7,42.7,17.4,7.3,10.7,5.4,0.4748,48129,68838,1596.26,10.54,16833,2.09,71.69,21.69,0.23,0.61,0.03,0.26,3.42,24.19,16.57,21.97,17.43,19.84,"Republican"
"132","Dallas County","Arkansas",963,36.35,1573,59.38,113,4.27,3.8,7.7,48.4,20.7,6.3,8.7,4.3,0.4456,40085,58645,1728.36,3.74,6482,3.1,52.84,39.83,0.22,0.11,0,0.39,3.52,28.89,21.13,13.4,5.06,31.52,"Republican"
"133","Desha County","Arkansas",2016,48.41,1921,46.13,227,5.45,9.7,11.3,43.7,19.7,2.5,8.3,4.8,0.4552,38067,51673,1919.77,5.88,11395,6.78,41.53,47.26,0.32,0.54,0,0.14,3.44,30.42,20.06,17.57,13.73,18.22,"Democrat"
"134","Drew County","Arkansas",2426,35.12,4349,62.96,133,1.93,3.2,9.5,36,19.9,6.4,17,8,0.4952,44968,66829,2146.24,8.06,17350,3.78,64.25,27.75,0.39,0.58,0.05,0.32,2.88,39.7,17.62,16.27,11.04,15.37,"Republican"
"135","Faulkner County","Arkansas",18347,33.71,34421,63.24,1660,3.05,3,4,29.7,22.7,8.2,20.2,12.3,0.4638,61273,80941,1676.35,74.33,123498,5.5,74.96,11.56,0.46,1.18,0.05,0.34,5.96,41.32,16.85,19.91,9.08,12.85,"Republican"
"136","Franklin County","Arkansas",1300,18.24,5677,79.63,152,2.13,4.6,9.2,42.6,21.8,9.6,8.7,3.6,0.452,47695,62043,1577.22,10.88,17097,2.87,88.91,0.46,1.16,0.95,0.06,0.18,5.42,29.08,16.61,17.14,12.44,24.72,"Republican"
"137","Fulton County","Arkansas",1035,20.22,3961,77.38,123,2.4,4.9,8.3,38.2,27.2,7.2,9.5,4.9,0.4215,38917,53748,1600.6,7.61,12075,1.28,92.76,0.22,0.55,0.29,0,0.13,4.77,30.52,24.31,19.77,8.12,17.27,"Republican"
"138","Garland County","Arkansas",14045,31.78,29069,65.77,1085,2.45,2.5,6.9,31.2,24.4,9.8,15.8,9.4,0.4606,54229,73126,1755.01,56.99,100180,7.03,77.1,8.02,0.62,0.96,0.07,0.3,5.9,32.67,22.74,22.8,10.54,11.25,"Republican"
"139","Grant County","Arkansas",1268,15.46,6794,82.85,138,1.68,2.2,5.1,42.6,23.5,7.7,13.7,5.1,0.4555,68598,88493,1636.58,11.01,17958,2.45,90.02,2.49,0.39,0.42,0.01,0.08,4.14,36.1,14.89,19.33,12.27,17.41,"Republican"
"140","Greene County","Arkansas",3058,18.99,12670,78.7,372,2.31,3.5,8.6,44.4,20.3,6.6,10.6,6,0.4283,54879,67548,1495.3,30.73,45736,3.49,88.57,2.02,0.3,0.4,0.63,0.23,4.36,31.94,14.16,19.06,12.44,22.4,"Republican"
"141","Hempstead County","Arkansas",2138,31.22,4470,65.27,240,3.5,7.7,8.5,39.1,21,8,9.6,6.2,0.4728,45049,62956,1883.44,10.64,20065,14.72,52.62,28.13,0.4,0.44,0.02,0.22,3.45,26.74,14.46,16.32,15.5,26.97,"Republican"
"142","Hot Spring County","Arkansas",3082,24.54,9202,73.28,273,2.17,2.6,8.9,39.3,25.3,8.4,10.1,5.4,0.4379,50260,65891,1592.7,20.8,33040,3.83,79.36,10.44,0.5,0.35,0.03,0.23,5.26,30.44,19.47,19.92,13.47,16.69,"Republican"
"143","Howard County","Arkansas",1340,27.72,3367,69.65,127,2.63,4.3,7.3,42.9,21,9.6,9.9,5.1,0.4513,44824,61924,1521.18,8.4,12785,11.87,62.43,20.54,0.64,0.48,0.03,0.16,3.84,27.23,17.48,16.62,15.03,23.65,"Republican"
"144","Independence County","Arkansas",2806,19.34,11250,77.52,456,3.14,4,9.2,38.6,22.9,8.2,11.6,5.5,0.4762,52361,71260,1978,19.17,37938,8.59,83.06,2.19,0.35,0.9,0.08,0.25,4.59,28.83,17.5,20.02,12.71,20.94,"Republican"
"145","Izard County","Arkansas",1021,17.57,4631,79.71,158,2.72,4.5,12.2,34.5,22.6,7.2,13.3,5.6,0.4908,46159,64670,1502.71,9.15,13577,2.4,89.67,1.89,0.54,0.2,0.07,0.24,4.99,36.87,13.38,15.29,14,20.46,"Republican"
"146","Jackson County","Arkansas",1365,26.81,3593,70.58,133,2.61,4.3,9.5,44.6,22.3,7.5,7.8,4.1,0.4721,41929,57912,1641.04,10.23,16755,2.75,76.12,16.5,0.26,0.38,0.02,0.3,3.68,23.96,20.84,19.2,12.72,23.28,"Republican"
"147","Jefferson County","Arkansas",14981,59.55,9521,37.84,656,2.61,3.3,7.6,42.3,21.3,5.3,14,6.2,0.4686,46855,64705,2259.36,29.63,67260,2.21,37.51,56.07,0.32,0.99,0.14,0.24,2.52,31.16,21.46,18.09,7.61,21.68,"Democrat"
"148","Johnson County","Arkansas",2283,24.04,6938,73.05,277,2.92,8.6,10.9,41,19.4,5,10.3,4.8,0.4456,42470,56684,1711.96,15.14,25749,13.36,75.34,1.76,0.78,3.57,0.1,0.22,4.87,27.22,14.77,16.04,10.02,31.96,"Republican"
"149","Lafayette County","Arkansas",839,31.32,1757,65.58,83,3.1,9.3,9.6,48.4,16.3,5.8,7.2,3.4,0.4502,40262,56291,1371.33,4.58,6308,2.3,61.35,32.39,0.46,0.51,0.08,0.1,2.82,30.93,15.64,19.92,13.02,20.48,"Republican"
"150","Lawrence County","Arkansas",1080,18.44,4569,78.01,208,3.55,6,11.8,37.5,24.6,7.1,8.7,4.2,0.459,43606,62355,1521.69,10.68,16216,2.2,92.04,0.85,0.25,0.23,0.06,0.2,4.16,25.39,16.08,20.27,14.79,23.48,"Republican"
"151","Lee County","Arkansas",1423,49.96,1286,45.15,139,4.88,4.4,12.1,49.3,20.7,5.8,6.4,1.3,0.5628,33801,56868,1553.49,5.58,8600,2.51,39.81,54.15,0.21,0.15,0.01,0.17,2.98,35.27,14.45,16.03,17.54,16.71,"Democrat"
"152","Lincoln County","Arkansas",1032,26.63,2729,70.43,114,2.94,5.6,10.9,50.7,20.1,4.5,5.5,2.7,0.4713,50526,68575,1449.01,8.98,12941,4.78,63.27,28.2,0.21,0.18,0.07,0.13,3.15,29.38,14.59,21.02,15.32,19.69,"Republican"
"153","Little River County","Arkansas",1226,23.68,3715,71.76,236,4.56,2.1,7.3,45.5,21.1,8.1,11.6,4.3,0.4101,58627,71108,1375.94,8.74,12026,3.4,71.45,17.99,1.34,0.16,0.07,0.17,5.41,29.96,14.67,18.25,14.17,22.95,"Republican"
"154","Logan County","Arkansas",1544,18.77,6441,78.31,240,2.92,3.2,8.6,43.7,22.1,8,9.1,5.3,0.4486,51131,70242,1836.6,11.57,21131,3.03,87.96,1.06,1.08,1.55,0.04,0.17,5.12,28.54,16.66,18.11,11.6,25.09,"Republican"
"155","Lonoke County","Arkansas",6686,21.81,22884,74.63,1092,3.56,3.1,7,37.1,22.2,10.6,13.3,6.6,0.4211,68078,85865,1998.05,37.18,74015,4.88,81.87,5.88,0.42,0.97,0.07,0.23,5.69,35.69,13.31,23.71,13.72,13.56,"Republican"
"156","Madison County","Arkansas",1563,21.26,5658,76.97,130,1.77,4.6,10.4,49.5,18.8,4.4,8.3,4,0.4553,51514,70891,2160.67,7.75,16521,5.39,85.19,0.22,1.24,0.62,1.44,0.36,5.54,26.42,17.03,18.82,18.14,19.6,"Republican"
"157","Marion County","Arkansas",1531,20.41,5783,77.08,189,2.52,4.4,7.9,37.2,27,8.2,9,6.2,0.4478,42891,57906,1545.18,10.94,16826,2.25,91.61,0.12,0.75,0.33,0,0.08,4.85,29.96,13.95,17.44,11.37,27.28,"Republican"
"158","Miller County","Arkansas",4245,25.68,11920,72.12,364,2.2,4.3,9,38,25.5,7.6,9,6.6,0.482,47613,66142,1616.26,26.41,42600,3.72,64.77,25.64,0.58,0.48,0.01,0.33,4.48,31.01,14.99,22.05,10.13,21.82,"Republican"
"159","Mississippi County","Arkansas",4558,36.93,7296,59.12,488,3.95,6.8,10.4,39.9,20.6,7.4,9.2,5.6,0.4905,50012,71494,2336.41,17.27,40685,4.35,56.19,35.03,0.16,0.59,0.01,0.24,3.42,29.48,15.15,17.01,11.84,26.52,"Republican"
"160","Monroe County","Arkansas",1147,40.73,1545,54.87,124,4.4,7,12.8,41.1,18.7,6.2,9.8,4.4,0.4721,41786,55658,1573.32,4.31,6799,2.74,52.04,40.46,0.44,0.41,0.1,0.47,3.34,27.35,18.21,17.6,8.54,28.3,"Republican"
"161","Montgomery County","Arkansas",731,18.87,3046,78.65,96,2.48,4.8,8.4,35,26.9,8.4,11.8,4.6,0.4501,47103,61955,2021.36,4.23,8484,4.89,88.39,0.15,1.08,0.55,0.06,0.17,4.7,30.69,13.63,22.62,12.1,20.96,"Republican"
"162","Nevada County","Arkansas",1076,32.04,2133,63.52,149,4.44,4.6,5.8,49.8,20.9,7.9,8.4,2.5,0.4286,43421,51512,1600.07,5.18,8310,4.26,61.91,29.28,0.45,0.49,0,0.19,3.42,20.84,27.93,21.71,10.77,18.76,"Republican"
"163","Newton County","Arkansas",709,17.73,3192,79.84,97,2.43,3.8,11.3,37.1,25.2,7.9,9.4,5.3,0.4184,50699,65087,2126.58,3.41,7225,1.13,92.15,0.08,0.91,0.33,0.01,0.26,5.11,22.98,17.39,21.67,15.11,22.84,"Republican"
"164","Ouachita County","Arkansas",3995,41.49,5294,54.98,340,3.53,2.1,9.8,39.8,25.8,7.6,10,5,0.4365,47348,62145,1897.74,11.91,22650,2.28,53.39,39.1,0.22,0.54,0.01,0.21,4.26,30.36,17.26,15.17,10,27.2,"Republican"
"165","Perry County","Arkansas",1012,21.87,3479,75.19,136,2.94,3.4,5.6,44.5,25.2,6.1,10.9,4.3,0.4202,53980,69280,1427.95,7.04,10019,2.85,90.52,1.07,0.43,0.12,0,0.25,4.76,29.43,12.29,18.7,20.44,19.14,"Republican"
"166","Phillips County","Arkansas",3623,58.04,2417,38.72,202,3.24,5.8,12.2,31.2,23.5,12,9.6,5.7,0.499,37458,54223,1788.02,9.16,16568,1.59,33.44,62.2,0.23,0.39,0.02,0.11,2.01,30.74,14.59,23.52,8.81,22.34,"Democrat"
"167","Pike County","Arkansas",644,15.17,3519,82.88,83,1.95,6.8,4.5,39.7,23.1,7.3,12.1,6.4,0.4871,49248,69106,1554.86,6.56,10171,8.17,83.82,2.34,0.82,0.16,0,0.26,4.44,31.08,15.88,17.63,12.67,22.75,"Republican"
"168","Poinsett County","Arkansas",1424,18.93,5918,78.69,179,2.38,8.2,10,46.9,18.8,4.5,8.3,3.2,0.4723,43440,60498,1963.98,11.71,22965,3.61,83.44,7.72,0.4,0.24,0,0.22,4.36,27.03,16.59,18.79,11.03,26.55,"Republican"
"169","Polk County","Arkansas",1246,14.68,7035,82.86,209,2.46,3.3,8.7,36.1,28.3,7.4,11.2,5.1,0.4974,48449,72330,2219.2,8.73,19221,6.65,83.72,0.2,1.74,0.52,0.05,0.28,6.84,32.55,19.44,15.58,14.68,17.75,"Republican"
"170","Pope County","Arkansas",5772,23.62,18081,74.01,579,2.37,5.5,9.2,34,20.4,7.1,15.7,8.2,0.47,51678,73118,2100.36,30.22,63381,10.12,78.95,3.25,0.72,1.05,0.04,0.28,5.6,32.46,17.1,19.43,9.61,21.41,"Republican"
"171","Prairie County","Arkansas",654,18.71,2786,79.71,55,1.57,6.5,7.9,42,21.2,6.4,9.9,6,0.4447,47045,66616,1677.06,4.9,8282,1.75,83.6,11.13,0.23,0.24,0.04,0.13,2.87,31.51,16.57,23.36,10.87,17.69,"Republican"
"172","Pulaski County","Arkansas",101947,59.98,63687,37.47,4322,2.54,2.8,5.1,25.3,21.6,8.1,21.8,15.3,0.517,58326,90292,1964.16,202.8,399125,8.31,48.6,35.61,0.29,2.49,0.05,0.37,4.28,43.67,16.07,22.15,6.43,11.68,"Democrat"
"173","Randolph County","Arkansas",1215,17.84,5355,78.61,242,3.55,5.3,7.3,40.5,21.2,10.1,9.8,5.8,0.4367,45993,61004,1688.45,11.03,18571,2.07,89.13,0.75,0.45,0.39,3.2,0.14,3.86,29.7,17.53,15.16,14.42,23.19,"Republican"
"174","Saline County","Arkansas",16060,28.2,39556,69.45,1343,2.36,2.6,5.5,31,23.1,9.3,19.6,8.9,0.4065,73236,89502,1873.9,66.17,123416,6.89,78.39,8.39,0.42,1.18,0.06,0.27,4.41,39.85,13.42,24.95,9.77,12,"Republican"
"175","Scott County","Arkansas",483,13.6,2962,83.41,106,2.99,6.1,10,41.7,21.7,8.4,9.2,2.8,0.4117,45340,56716,2312.47,4.27,9836,7.6,81.65,0.32,1.86,2.8,0.05,0.32,5.41,26.67,14.83,19.2,12.09,27.21,"Republican"
"176","Searcy County","Arkansas",588,14.63,3365,83.73,66,1.64,7.4,10.6,39.1,20,7.9,11.1,3.8,0.4407,42063,55577,1724.62,4.57,7828,1.79,90.6,0.06,0.83,0.26,0.06,0.19,6.21,32.45,15.9,20.65,9.6,21.4,"Republican"
"177","Sebastian County","Arkansas",14487,30.73,31198,66.18,1455,3.09,6.5,8.5,30.2,23.5,7.4,15.1,8.9,0.5036,54047,81552,1375.76,93.17,127799,15.12,64.78,6.17,1.86,4.46,0.07,0.23,7.3,34.51,16.21,21.11,7.94,20.22,"Republican"
"178","Sevier County","Arkansas",1116,21.45,3884,74.66,202,3.88,14.3,12.2,34.7,18.6,8.6,7.8,3.9,0.4771,53567,70910,1459.64,10.9,15839,34.77,53.03,3.47,1.93,0.38,1.52,0.13,4.76,19.99,14.14,14.76,18.62,32.5,"Republican"
"179","Sharp County","Arkansas",1398,18.48,5938,78.48,230,3.04,4,11.4,40.9,25.7,6.4,7.5,4,0.4721,43332,61476,1566.01,11.13,17271,2.1,91.07,0.66,0.7,0.33,0.12,0.14,4.89,26.32,20.01,22.67,13.05,17.95,"Republican"
"180","St. Francis County","Arkansas",3604,50.7,3242,45.61,262,3.69,5.1,10.7,41.9,21.8,7.2,7.4,5.8,0.4989,39822,54833,1644.08,14.07,23090,2.97,39.87,54.14,0.28,0.53,0,0.15,2.06,25.78,20.16,19.49,14.27,20.31,"Democrat"
"181","Stone County","Arkansas",1180,19.87,4616,77.74,142,2.39,4,9.9,35.5,24.4,11.9,9.3,5.1,0.4481,37664,50387,1570.67,7.89,12359,2.19,92.14,0.17,0.7,0.2,0.02,0.24,4.34,28.23,19.09,17.46,19.5,15.72,"Republican"
"182","Union County","Arkansas",5584,33.62,10478,63.09,545,3.28,3,9.8,38.2,22.1,8.4,12.3,6.2,0.4882,49745,71752,2691.17,14.42,39054,4.49,58.65,32.44,0.28,0.7,0.04,0.3,3.11,32.04,18.29,20.63,10.31,18.73,"Republican"
"183","Van Buren County","Arkansas",1593,20.4,6034,77.29,180,2.31,5.6,10,40.3,20.5,6.9,10.4,6.3,0.4406,45768,59684,1837.78,8.65,15796,3.17,90.65,0.45,0.7,0.35,0,0.09,4.58,26.02,20.84,18.3,12.16,22.68,"Republican"
"184","Washington County","Arkansas",43824,46.49,47504,50.39,2938,3.12,7.1,5.9,27.7,18.4,6.5,20.1,14.3,0.483,61985,89423,2438.34,101.43,245871,18.2,65.3,3.39,0.99,2.29,3.55,0.3,5.97,41.37,15.83,19.24,9.15,14.42,"Republican"
"185","White County","Arkansas",5978,19.36,24182,78.3,725,2.35,4.3,9.4,40.1,17,8.8,12,8.5,0.4621,51144,70736,2677.96,28.8,76822,4.55,83.78,4.79,0.42,0.8,0.03,0.28,5.35,33.59,17.45,18.79,11.25,18.92,"Republican"
"186","Woodruff County","Arkansas",856,34.57,1543,62.32,77,3.11,4.2,11.4,48,11.5,8.4,8.5,8,0.4832,49608,66258,1517.66,4.12,6269,1.53,67.55,25.54,0.13,0.35,0,0.4,4.5,31.9,19.73,21.48,8.06,18.82,"Republican"
"187","Yell County","Arkansas",1284,19.05,5226,77.53,231,3.43,8.8,13.8,37.9,19,6.7,9.4,4.4,0.4043,55879,66319,2409.69,8.44,20263,20.75,72.6,1.12,0.55,1,0.05,0.14,3.8,23,19.61,17.41,11.53,28.44,"Republican"
"188","Alameda County","California",617659,80.23,136309,17.71,15896,2.06,5.9,4.8,16.2,15.7,6.4,28.8,22.2,0.4694,122488,164668,1910.01,871.11,1682353,23.4,28.07,9.48,0.25,32.13,0.79,0.62,5.26,54.08,13.77,16.95,5.68,9.52,"Democrat"
"189","Alpine County","California",476,64.24,244,32.93,21,2.83,4.1,2.6,20.1,24.1,9.5,23.2,16.4,0.5733,101125,164883,1912.29,0.79,1204,6.98,66.53,0.83,17.77,1,0,0.58,6.31,47.68,9.91,20.28,7.28,14.86,"Democrat"
"190","Amador County","California",8153,36.56,13585,60.91,564,2.53,2.6,6.9,28.8,27.2,13.9,14.4,6.2,0.4569,74853,99147,1539.97,26.35,40474,14.86,73.44,3,1.43,1.37,0.18,0.62,5.11,34.7,23.63,19.28,12.26,10.12,"Republican"
"191","Butte County","California",50426,49.42,48730,47.75,2886,2.83,3.5,6.2,22.3,26.8,10.4,20.2,10.6,0.4831,66085,92479,4238.49,50.4,211632,18.95,65.99,1.57,1.44,4.88,0.24,0.56,6.37,38.61,20.97,21.59,8.45,10.38,"Democrat"
"192","Calaveras County","California",10046,36.98,16518,60.81,600,2.21,1.6,5.9,31.3,29.2,10.7,14.5,6.9,0.4278,77526,97040,2641.83,17.29,45292,12.95,76.54,0.74,1.1,1.56,0.17,0.59,6.36,31.79,26.2,21.66,11.56,8.78,"Republican"
"193","Colusa County","California",3234,40.67,4554,57.28,163,2.05,18,8.7,29.3,19.5,10.2,10.9,3.4,0.4622,69619,91248,2980.25,7.32,21839,61.71,31.78,0.83,1.28,1.15,0.32,0.42,2.5,23.92,15.39,16.16,23.73,20.81,"Republican"
